epoch,train_l1,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
1,0.037029,0.0004996573836886434,108.8,27.646345,0.751285,0.033198,27.902274,0.764179,0.030887
2,0.033458,0.0004986304738420682,155.6,27.978915,0.760903,0.032134,28.243233,0.773521,0.029822
3,0.03235,0.0004969220851487844,135.6,28.284748,0.763456,0.031291,28.555816,0.776537,0.028982
4,0.031842,0.0004945369001834514,133.0,28.435947,0.769948,0.030811,28.710051,0.782783,0.028512
5,0.031377,0.0004914814565722671,129.4,28.537826,0.772041,0.030486,28.811227,0.784513,0.028225
6,0.031146,0.00048776412907378846,124.8,28.509408,0.773453,0.030552,28.7839,0.785774,0.028278
7,0.030972,0.00048339510662430044,129.0,28.617208,0.773928,0.030292,28.893743,0.786778,0.028026
8,0.030813,0.0004783863644106502,133.3,28.626047,0.776146,0.030178,28.903172,0.788416,0.027917
9,0.030726,0.00047275163104709196,129.7,28.660421,0.777557,0.03008,28.935339,0.789882,0.02784
10,0.030621,0.00046650635094610973,128.7,28.635089,0.778784,0.030126,28.909373,0.790329,0.027898
11,0.030673,0.00045966764198635603,128.2,28.675395,0.777498,0.030014,28.950634,0.789446,0.027785
12,0.03049,0.0004522542485937369,128.3,28.732268,0.776958,0.029858,29.011022,0.789817,0.027595
13,0.030419,0.00044428649036424276,128.9,28.744575,0.777063,0.029792,29.023973,0.789609,0.027538
14,0.030382,0.0004357862063693486,134.0,28.766537,0.779469,0.02974,29.045308,0.791859,0.027497
15,0.030247,0.00042677669529663696,128.4,28.814102,0.780027,0.029584,29.093699,0.792278,0.027341
16,0.030195,0.0004172826515897146,131.7,28.814834,0.781813,0.029573,29.093366,0.793911,0.027344
17,0.030132,0.00040733009776245933,130.5,28.843225,0.782554,0.029446,29.122426,0.794717,0.02721
18,0.030126,0.00039694631307311834,134.0,28.842143,0.782692,0.029435,29.120853,0.794497,0.027212
19,0.030048,0.0003861597587537568,129.3,28.849132,0.782724,0.029427,29.127627,0.794683,0.027203
20,0.03004,0.000375,127.8,28.858775,0.78442,0.029389,29.136233,0.796055,0.027179
21,0.029993,0.00036349762493488667,132.1,28.866509,0.781577,0.029385,29.144449,0.793419,0.027171
22,0.029969,0.0003516841607689501,130.4,28.90515,0.784386,0.029278,29.184511,0.796312,0.027062
23,0.029889,0.00033959198738632514,132.4,28.878813,0.780616,0.029338,29.158541,0.792425,0.027116
24,0.029904,0.00032725424859373687,132.6,28.880706,0.781504,0.029405,29.16488,0.793591,0.027099
25,0.029859,0.00031470476127563017,137.3,28.92269,0.782847,0.029233,29.201533,0.794674,0.027024
26,0.029757,0.00030197792270443975,130.3,28.931446,0.784989,0.029187,29.210795,0.796735,0.026977
27,0.029769,0.0002891086162600577,133.3,28.926928,0.782606,0.029243,29.208128,0.794926,0.027011
28,0.02975,0.00027613211581691336,129.2,28.935718,0.783347,0.029191,29.214266,0.794983,0.026988
29,0.029741,0.00026308398906073593,131.6,28.930487,0.78581,0.02917,29.210201,0.797529,0.026962
30,0.029654,0.00025000000000000006,130.8,28.966213,0.784909,0.029096,29.246914,0.796854,0.026881
31,0.029614,0.00023691601093926408,131.0,28.973602,0.786776,0.029072,29.2535,0.798567,0.026866
32,0.029582,0.00022386788418308668,128.7,28.980127,0.78761,0.029048,29.26003,0.799265,0.026845
33,0.029595,0.0002108913837399423,129.8,28.981523,0.785429,0.029057,29.262759,0.797415,0.026838
34,0.029567,0.00019802207729556018,129.9,28.975335,0.786181,0.02903,29.255019,0.797926,0.026823
35,0.029541,0.00018529523872436987,132.5,28.966765,0.785318,0.029053,29.24655,0.796725,0.026851
36,0.02952,0.0001727457514062632,131.0,28.998929,0.786544,0.028971,29.279168,0.798307,0.026768
37,0.029477,0.00016040801261367496,133.1,29.000052,0.787992,0.02898,29.280757,0.79974,0.026775
38,0.029463,0.00014831583923105002,134.4,29.006914,0.785857,0.028949,29.288018,0.797672,0.026741
39,0.029413,0.00013650237506511334,132.3,29.022325,0.786627,0.028897,29.30285,0.798214,0.026697
40,0.029397,0.00012500000000000008,134.5,29.00969,0.787469,0.02896,29.290383,0.799258,0.026751
41,0.029379,0.00011384024124624333,137.2,29.02359,0.786404,0.028891,29.304506,0.798127,0.026688
42,0.029344,0.00010305368692688177,144.9,29.031649,0.786819,0.02887,29.312971,0.798637,0.026664
