epoch,train_l1,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
43,0.02931,9.26699022375407e-05,138.9,29.042129,0.788551,0.028818,29.32268,0.800082,0.026622
44,0.029307,8.271734841028555e-05,171.0,29.037233,0.787678,0.02885,29.318774,0.799581,0.026641
45,0.029279,7.322330470336315e-05,171.4,29.050498,0.788113,0.028803,29.331465,0.79965,0.026603
46,0.029247,6.421379363065152e-05,125.1,29.055112,0.78933,0.028786,29.335504,0.800731,0.026596
47,0.029252,5.5713509635757295e-05,124.3,29.053488,0.788485,0.028799,29.334906,0.800252,0.026597
48,0.029228,4.774575140626318e-05,126.1,29.062918,0.788716,0.028761,29.343881,0.800227,0.026567
49,0.029207,4.0332358013644026e-05,127.8,29.060295,0.789021,0.028765,29.34141,0.800632,0.026568
50,0.029187,3.349364905389033e-05,127.9,29.067826,0.788945,0.028735,29.349366,0.800515,0.026537
51,0.029178,2.724836895290806e-05,129.1,29.065161,0.788975,0.028728,29.345852,0.800308,0.026537
52,0.02916,2.161363558934976e-05,127.6,29.07378,0.789993,0.028711,29.354627,0.801395,0.02652
53,0.029152,1.6604893375699568e-05,125.9,29.069155,0.788187,0.028725,29.350371,0.799713,0.02653
54,0.029143,1.2235870926211619e-05,125.0,29.079312,0.789552,0.028699,29.360666,0.801048,0.026505
55,0.029133,8.518543427732923e-06,124.3,29.079823,0.789486,0.028694,29.361042,0.800947,0.026501
56,0.029128,5.463099816548579e-06,124.4,29.080845,0.789428,0.028689,29.362277,0.800935,0.026494
57,0.029124,3.077914851215586e-06,123.7,29.082296,0.789521,0.028686,29.363617,0.801003,0.026493
58,0.029121,1.3695261579316502e-06,124.2,29.081746,0.789301,0.028686,29.363124,0.800798,0.026492
59,0.029114,3.4261631135654184e-07,123.7,29.082076,0.789274,0.028685,29.36343,0.800753,0.026491
60,0.029111,0.0,123.7,29.082766,0.789376,0.028684,29.364123,0.800851,0.02649
