epoch,train_l1,train_loss,train_ssim,train_lpips,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
48,0.030854,0.078698,0.77728,0.144363,4.774575140626318e-05,67.3,28.624203,0.783561,0.030291,28.89987,0.794092,0.028058
49,0.030851,0.078611,0.777394,0.143687,4.0332358013644026e-05,67.4,28.62151,0.783746,0.030305,28.897137,0.794209,0.028075
50,0.030843,0.078555,0.77758,0.143485,3.349364905389033e-05,67.3,28.656973,0.784066,0.030162,28.933087,0.794602,0.02793
51,0.030832,0.078444,0.777654,0.142598,2.724836895290806e-05,67.3,28.627441,0.783556,0.030275,28.903072,0.794056,0.028044
52,0.030831,0.078395,0.777684,0.142173,2.161363558934976e-05,67.4,28.653561,0.78426,0.030186,28.929688,0.79484,0.027956
53,0.030812,0.078334,0.77791,0.142082,1.6604893375699568e-05,67.6,28.665664,0.784622,0.030159,28.941826,0.795298,0.027931
54,0.030806,0.078249,0.778011,0.141445,1.2235870926211619e-05,67.3,28.665431,0.784333,0.030151,28.941457,0.795,0.027923
55,0.030808,0.078249,0.777913,0.141277,8.518543427732923e-06,67.2,28.672097,0.784564,0.030122,28.948161,0.795256,0.027895
56,0.030808,0.078179,0.778099,0.140859,5.463099816548579e-06,67.2,28.673731,0.784571,0.030113,28.949671,0.795263,0.027887
57,0.030798,0.07817,0.778079,0.140839,3.077914851215586e-06,67.2,28.671665,0.784622,0.03013,28.947912,0.795263,0.027902
58,0.030796,0.078139,0.77818,0.1407,1.3695261579316502e-06,67.3,28.671962,0.784486,0.030127,28.948086,0.795143,0.027899
59,0.03078,0.078098,0.778185,0.140455,3.4261631135654184e-07,67.5,28.672221,0.784674,0.03013,28.948515,0.795313,0.027902
60,0.030783,0.078124,0.778314,0.140887,0.0,67.6,28.668673,0.784586,0.030141,28.944866,0.795219,0.027913
